"Experiment","Listener","lambda","depth","nullcost","Pearson","Pearson.p","Spearman","Spearman.p","MSE"
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,0,0.893939099361888,2.01599901175642e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826541
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,1,0.893972365199075,1.98982918371947e-32,0.748134292184598,2.37408197420988e-17,0.0121652643516501
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,2,0.893940757585844,2.0146866009415e-32,0.748134292184598,2.37408197420988e-17,0.0121686179377203
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,3,0.893939181925,2.01593364700525e-32,0.748134292184598,2.37408197420988e-17,0.0121687851223257
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,4,0.893939103472475,2.01599575737844e-32,0.748134292184598,2.37408197420988e-17,0.0121687934465016
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,5,0.893939099566542,2.01599884973038e-32,0.748134292184598,2.37408197420988e-17,0.0121687938609393
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,6,0.893939099372077,2.01599900368958e-32,0.748134292184598,2.37408197420988e-17,0.0121687938815729
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,0,7,0.893939099362395,2.01599901135491e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826002
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,0,0.893939099361888,2.01599901175642e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826541
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,1,0.893972365199075,1.98982918371947e-32,0.748134292184598,2.37408197420988e-17,0.0121652643516501
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,2,0.893940757585844,2.0146866009415e-32,0.748134292184598,2.37408197420988e-17,0.0121686179377203
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,3,0.893939181925,2.01593364700525e-32,0.748134292184598,2.37408197420988e-17,0.0121687851223257
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,4,0.893939103472475,2.01599575737844e-32,0.748134292184598,2.37408197420988e-17,0.0121687934465016
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,5,0.893939099566542,2.01599884973038e-32,0.748134292184598,2.37408197420988e-17,0.0121687938609393
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,6,0.893939099372077,2.01599900368958e-32,0.748134292184598,2.37408197420988e-17,0.0121687938815729
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,1,7,0.893939099362395,2.01599901135491e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826002
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,0,0.893939099361888,2.01599901175642e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826541
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,1,0.893972365199075,1.98982918371947e-32,0.748134292184598,2.37408197420988e-17,0.0121652643516501
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,2,0.893940757585844,2.0146866009415e-32,0.748134292184598,2.37408197420988e-17,0.0121686179377203
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,3,0.893939181925,2.01593364700525e-32,0.748134292184598,2.37408197420988e-17,0.0121687851223257
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,4,0.893939103472475,2.01599575737844e-32,0.748134292184598,2.37408197420988e-17,0.0121687934465016
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,5,0.893939099566542,2.01599884973038e-32,0.748134292184598,2.37408197420988e-17,0.0121687938609393
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,6,0.893939099372077,2.01599900368958e-32,0.748134292184598,2.37408197420988e-17,0.0121687938815729
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,2,7,0.893939099362395,2.01599901135491e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826002
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,0,0.893939099361888,2.01599901175642e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826541
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,1,0.893972365199075,1.98982918371947e-32,0.748134292184598,2.37408197420988e-17,0.0121652643516501
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,2,0.893940757585844,2.0146866009415e-32,0.748134292184598,2.37408197420988e-17,0.0121686179377203
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,3,0.893939181925,2.01593364700525e-32,0.748134292184598,2.37408197420988e-17,0.0121687851223257
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,4,0.893939103472475,2.01599575737844e-32,0.748134292184598,2.37408197420988e-17,0.0121687934465016
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,5,0.893939099566542,2.01599884973038e-32,0.748134292184598,2.37408197420988e-17,0.0121687938609393
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,6,0.893939099372077,2.01599900368958e-32,0.748134292184598,2.37408197420988e-17,0.0121687938815729
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,3,7,0.893939099362395,2.01599901135491e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826002
"embeddedscalars-experiment-results-likert.csv","Fixed lexicon",3,4,0,0.893939099361888,2.01599901175642e-32,0.748134292184598,2.37408197420988e-17,0.0121687938826541
