Experiment,Listener,lambda,depth,nullcost,Pearson,Pearson p,Spearman,Spearman p,MSE
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,0.0,0.96036194363452054,1.3346377255018382e-50,0.79842279121740889,4.3071578610763501e-21,0.0027329123297921247
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,0.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,0.0,0.92910547226626949,8.755095864463772e-40,0.75761821956594444,5.4977003986303046e-18,0.0073623439613076606
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,0.0,0.97374962026319045,2.369032167939926e-58,0.80992739740766073,4.2371409404121776e-22,0.0021257622558282794
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,1.0,0.96808275737373151,1.140915212189107e-54,0.8012077909055515,2.491422740154756e-21,0.0022063597460487906
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,1.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,1.0,0.93398367086576839,4.2267432080339284e-41,0.75735996997400057,5.7261775478665642e-18,0.0068871575328698252
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,1.0,0.97900700363764548,1.4204558982043122e-62,0.81231979586102632,2.564658817978211e-22,0.0017664035912163686
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,2.0,0.96768103181532195,1.9612899945848733e-54,0.8012077909055515,2.491422740154756e-21,0.0022333374989950017
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,2.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,2.0,0.93371702056472006,5.01788260703593e-41,0.75735996997400057,5.7261775478665642e-18,0.0069129607103781748
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,2.0,0.97870011916972544,2.6725017857337956e-62,0.81229969167234251,2.575578828245367e-22,0.0017870497810467758
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,3.0,0.96728088299611803,3.3417245089964652e-54,0.80095723730038981,2.6181212821861734e-21,0.0022602614970911494
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,3.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,3.0,0.93345345370453447,5.9411322970442069e-41,0.75735996997400057,5.7261775478665642e-18,0.0069384839941688944
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,3.0,0.97839968504289287,4.9180697738387965e-62,0.81229969167234251,2.575578828245367e-22,0.0018073080198895725
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,4.0,0.96688485411023595,5.626021928177413e-54,0.80095723730038981,2.6181212821861734e-21,0.0022869576961740364
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,4.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,4.0,0.93319442289818721,7.0091153492903533e-41,0.75735996997400057,5.7261775478665642e-18,0.0069635861588471038
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,4.0,0.97810707902162253,8.835165377749433e-62,0.81229969167234251,2.575578828245367e-22,0.001827080509688348
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,5.0,0.96649529747857366,9.3339905251178289e-54,0.80095723730038981,2.6181212821861734e-21,0.0023132640970405511
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,5.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,5.0,0.93294124907644782,8.2329582134616449e-41,0.75735996997400057,5.7261775478665642e-18,0.0069881383160347709
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,5.0,0.97782350154186015,1.5471262055796696e-61,0.81217906654024008,2.6420540004403834e-22,0.001846281201915591
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,6.0,0.96611433825221249,1.5225841136631944e-53,0.80095723730038981,2.6181212821861734e-21,0.0023390333504528802
embeddedscalars-experiment-results-binary.csv,Literal,0.10000000000000001,0,6.0,0.93837874816654188,2.2432490742415311e-42,0.76173843987858747,2.8512300600314886e-18,0.0064633409124964826
embeddedscalars-experiment-results-binary.csv,Fixed lexicon,0.10000000000000001,0,6.0,0.9326951033995613,9.6215920851325479e-41,0.75735996997400057,5.7261775478665642e-18,0.007012025733329273
embeddedscalars-experiment-results-binary.csv,NeoGricean,0.10000000000000001,0,6.0,0.97754996754648427,2.6378943898788573e-61,0.81217906654024008,2.6420540004403834e-22,0.0018648364909611157
embeddedscalars-experiment-results-binary.csv,Unconstrained,0.10000000000000001,0,7.0,0.96574384830112148,2.4374584099124786e-53,0.80109215078009222,2.5491409502603508e-21,0.0023641346895608767
