sentence,condition,truth.chris,truth.dan,trial.type
Player B shot perfectly.,SSS,0,0,filler
Player B shot perfectly.,SSA,0,0,filler
Player B shot perfectly.,SAA,1,1,filler
Player B shot perfectly.,AAA,1,1,filler
Player C shot perfectly.,NNN,0,0,filler
Player C shot perfectly.,NNS,0,0,filler
Player C shot perfectly.,NNA,1,1,filler
Player C shot perfectly.,NSS,0,0,filler
Player C shot perfectly.,NSA,1,1,filler
Player C shot perfectly.,NAA,1,1,filler
Player C shot perfectly.,SSS,0,0,filler
Player C shot perfectly.,SSA,1,1,filler
Player C shot perfectly.,SAA,1,1,filler
Player C shot perfectly.,AAA,1,1,filler
Player A made no shots.,NNN,1,1,filler
Player A made no shots.,NNS,1,1,filler
Player A made no shots.,NNA,1,1,filler
Player A made no shots.,NSS,1,1,filler
Player A made no shots.,NSA,1,1,filler
Player A made no shots.,NAA,1,1,filler
Player A made no shots.,SSS,0,0,filler
Player A made no shots.,SSA,0,0,filler
Player A made no shots.,SAA,0,0,filler
Player A made no shots.,AAA,0,0,filler
Player B made no shots,NNN,1,1,filler
Player B made no shots,NNS,1,1,filler
Player B made no shots,NNA,1,1,filler
Player B made no shots,NSS,0,0,filler
Player B made no shots,NSA,0,0,filler
Player B made no shots,NAA,0,0,filler
Player B made no shots,SSS,0,0,filler
Player B made no shots,SSA,0,0,filler
Player B made no shots,SAA,0,0,filler
Player B made no shots,AAA,0,0,filler
Player C made no shots.,NNN,1,1,filler
Player C made no shots.,NNS,0,0,filler
Player C made no shots.,NNA,0,0,filler
Player C made no shots.,NSS,0,0,filler
Player C made no shots.,NSA,0,0,filler
Player C made no shots.,NAA,0,0,filler
Player C made no shots.,SSS,0,0,filler
Player C made no shots.,SSA,0,0,filler
Player C made no shots.,SAA,0,0,filler
Player C made no shots.,AAA,0,0,filler
We have a clear winner.,NNN,0,0,filler
We have a clear winner.,NNS,1,1,filler
We have a clear winner.,NNA,1,1,filler
We have a clear winner.,NSS,0,0,filler
We have a clear winner.,NSA,1,1,filler
We have a clear winner.,NAA,0,0,filler
We have a clear winner.,SSS,0,0,filler
We have a clear winner.,SSA,1,1,filler
We have a clear winner.,SAA,0,0,filler
We have a clear winner.,AAA,0,0,filler
We have a clear loser.,NNN,0,0,filler
We have a clear loser.,NNS,0,0,filler
We have a clear loser.,NNA,0,0,filler
We have a clear loser.,NSS,1,1,filler
We have a clear loser.,NSA,1,1,filler
We have a clear loser.,NAA,1,1,filler
We have a clear loser.,SSS,0,0,filler
We have a clear loser.,SSA,0,0,filler
We have a clear loser.,SAA,1,1,filler
We have a clear loser.,AAA,0,0,filler
Player A tied with Player B.,NNN,1,1,filler
Player A tied with Player B.,NNS,1,1,filler
Player A tied with Player B.,NNA,1,1,filler
Player A tied with Player B.,NSS,0,0,filler
Player A tied with Player B.,NSA,0,0,filler
Player A tied with Player B.,NAA,0,0,filler
Player A tied with Player B.,SSS,1,1,filler
Player A tied with Player B.,SSA,1,1,filler
Player A tied with Player B.,SAA,0,0,filler
Player A tied with Player B.,AAA,1,1,filler
Player A tied with Player C.,NNN,1,1,filler
Player A tied with Player C.,NNS,0,0,filler
Player A tied with Player C.,NNA,0,0,filler
Player A tied with Player C.,NSS,0,0,filler
Player A tied with Player C.,NSA,0,0,filler
Player A tied with Player C.,NAA,0,0,filler
Player A tied with Player C.,SSS,1,1,filler
Player A tied with Player C.,SSA,0,0,filler
Player A tied with Player C.,SAA,0,0,filler
Player A tied with Player C.,AAA,1,1,filler
Player B tied with Player C.,NNN,1,1,filler
Player B tied with Player C.,NNS,0,0,filler
Player B tied with Player C.,NNA,0,0,filler
Player B tied with Player C.,NSS,1,1,filler
Player B tied with Player C.,NSA,0,0,filler
Player B tied with Player C.,NAA,1,1,filler
Player B tied with Player C.,SSS,1,1,filler
Player B tied with Player C.,SSA,0,0,filler
Player B tied with Player C.,SAA,1,1,filler
Player B tied with Player C.,AAA,1,1,filler
Most of the players made shots.,NNN,0,0,filler
Most of the players made shots.,NNS,0,0,filler
Most of the players made shots.,NNA,0,0,filler
Most of the players made shots.,NSS,1,1,filler
Most of the players made shots.,NSA,1,1,filler
Most of the players made shots.,NAA,1,1,filler
Most of the players made shots.,SSS,1,1,filler
Most of the players made shots.,SSA,1,1,filler
Most of the players made shots.,SAA,1,1,filler
Most of the players made shots.,AAA,1,1,filler
Most of the players missed shots.,NNN,1,1,filler
Most of the players missed shots.,NNS,1,1,filler
Most of the players missed shots.,NNA,1,1,filler
Most of the players missed shots.,NSS,1,1,filler
Most of the players missed shots.,NSA,1,1,filler
Most of the players missed shots.,NAA,0,0,filler
Most of the players missed shots.,SSS,1,1,filler
Most of the players missed shots.,SSA,1,1,filler
Most of the players missed shots.,SAA,0,0,filler
Most of the players missed shots.,AAA,0,0,filler
<b>SOME</b> one did better than Player A.,NNN,0,0,filler
<b>SOME</b> one did better than Player A.,NNS,1,1,filler
<b>SOME</b> one did better than Player A.,NNA,1,1,filler
<b>SOME</b> one did better than Player A.,NSS,1,1,filler
<b>SOME</b> one did better than Player A.,NSA,1,1,filler
<b>SOME</b> one did better than Player A.,NAA,1,1,filler
<b>SOME</b> one did better than Player A.,SSS,0,0,filler
<b>SOME</b> one did better than Player A.,SSA,1,1,filler
<b>SOME</b> one did better than Player A.,SAA,1,1,filler
<b>SOME</b> one did better than Player A.,AAA,0,0,filler
<b>SOME</b> one did better than Player B.,NNN,0,0,filler
<b>SOME</b> one did better than Player B.,NNS,1,1,filler
<b>SOME</b> one did better than Player B.,NNA,1,1,filler
<b>SOME</b> one did better than Player B.,NSS,0,0,filler
<b>SOME</b> one did better than Player B.,NSA,1,1,filler
<b>SOME</b> one did better than Player B.,NAA,0,0,filler
<b>SOME</b> one did better than Player B.,SSS,0,0,filler
<b>SOME</b> one did better than Player B.,SSA,1,1,filler
<b>SOME</b> one did better than Player B.,SAA,0,0,filler
<b>SOME</b> one did better than Player B.,AAA,0,0,filler
<b>SOME</b> one did better than Player C.,NNN,0,0,filler
<b>SOME</b> one did better than Player C.,NNS,0,0,filler
<b>SOME</b> one did better than Player C.,NNA,0,0,filler
<b>SOME</b> one did better than Player C.,NSS,0,0,filler
<b>SOME</b> one did better than Player C.,NSA,0,0,filler
<b>SOME</b> one did better than Player C.,NAA,0,0,filler
<b>SOME</b> one did better than Player C.,SSS,0,0,filler
<b>SOME</b> one did better than Player C.,SSA,0,0,filler
<b>SOME</b> one did better than Player C.,SAA,0,0,filler
<b>SOME</b> one did better than Player C.,AAA,0,0,filler
Player A placed second.,NNN,0,0,filler
Player A placed second.,NNS,1,1,filler
Player A placed second.,NNA,1,1,filler
Player A placed second.,NSS,1,0,filler
Player A placed second.,NSA,0,0,filler
Player A placed second.,NAA,1,0,filler
Player A placed second.,SSS,0,0,filler
Player A placed second.,SSA,1,1,filler
Player A placed second.,SAA,1,0,filler
Player A placed second.,AAA,0,0,filler
Player B placed second.,NNN,0,0,filler
Player B placed second.,NNS,1,1,filler
Player B placed second.,NNA,1,1,filler
Player B placed second.,NSS,0,0,filler
Player B placed second.,NSA,1,1,filler
Player B placed second.,NAA,0,0,filler
Player B placed second.,SSS,0,0,filler
Player B placed second.,SSA,1,1,filler
Player B placed second.,SAA,0,0,filler
Player B placed second.,AAA,0,0,filler
Player C placed second.,NNN,0,0,filler
Player C placed second.,NNS,0,0,filler
Player C placed second.,NNA,0,0,filler
Player C placed second.,NSS,0,0,filler
Player C placed second.,NSA,0,0,filler
Player C placed second.,NAA,0,0,filler
Player C placed second.,SSS,0,0,filler
Player C placed second.,SSA,0,0,filler
Player C placed second.,SAA,0,0,filler
Player C placed second.,AAA,0,0,filler
